k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
211932810,12.345,0.018,11.68,0.019,11.506,0.018,15.224,5.375,0.034,1.9978609,1.0232649,0.50748837,0.0,0.5745,0.0036,3888.0,76.0
212005504,13.161,0.017,12.515,0.024,12.27,0.019,16.567,5.182,0.043,2.3825693,1.0127223,0.3597532,0.0,0.4624,0.0043,3621.0,43.0
212005504,13.161,0.017,12.515,0.024,12.27,0.019,16.567,5.182,0.043,2.3825693,1.0127223,0.3597532,0.0,0.4624,0.0043,3621.0,43.0
212017183,13.497,0.025,12.834,0.027,12.592,0.02,17.687,5.221,0.049,2.7302628,1.0201722,0.6874965,0.0,0.4069,0.0046,3327.0,43.0
212017183,13.497,0.025,12.834,0.027,12.592,0.02,17.687,5.221,0.049,2.7302628,1.0201722,0.6874965,0.0,0.4069,0.0046,3327.0,43.0
212001288,13.024,0.02,12.376,0.024,12.142,0.02,16.889,5.483,0.049,2.4961758,0.949621,-1.1040365,0.0,0.4633,0.0046,3440.0,43.0
211933636,12.937,0.018,12.269,0.022,12.042,0.021,16.639,5.493,0.05,2.3365946,0.9385614,-1.273564,0.0,0.4792,0.0048,3500.0,43.0
212001288,13.024,0.02,12.376,0.024,12.142,0.02,16.889,5.483,0.049,2.4961758,0.949621,-1.1040365,0.0,0.4633,0.0046,3440.0,43.0
211933636,12.937,0.018,12.269,0.022,12.042,0.021,16.639,5.493,0.05,2.3365946,0.9385614,-1.273564,0.0,0.4792,0.0048,3500.0,43.0
211972472,13.481,0.023,12.867,0.029,12.625,0.02,17.494,5.477,0.058,2.6160593,0.9626805,-1.112077,0.0,0.3851,0.0048,3387.0,43.0
211972472,13.481,0.023,12.867,0.029,12.625,0.02,17.494,5.477,0.058,2.6160593,0.9626805,-1.112077,0.0,0.3851,0.0048,3387.0,43.0
211997888,13.451,0.02,12.837,0.026,12.545,0.024,17.616,5.438,0.067,2.728324,1.048075,1.0901306,0.852672,0.4003,0.0058,3336.0,43.0
212019656,12.492,0.018,11.776,0.021,11.589,0.019,15.839,5.492,0.034,2.2695084,1.019977,0.48815438,0.0,0.5536,0.0037,3646.0,43.0
211997888,13.451,0.02,12.837,0.026,12.545,0.024,17.616,5.438,0.067,2.728324,1.048075,1.0901306,0.852672,0.4003,0.0058,3336.0,43.0
212019656,12.492,0.018,11.776,0.021,11.589,0.019,15.839,5.492,0.034,2.2695084,1.019977,0.48815438,0.0,0.5536,0.0037,3646.0,43.0
