k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
211142685,12.647,0.022,11.943,0.019,11.722,0.021,16.856,7.161,0.04,2.720457,1.072395,1.9235204,2.4041617,0.4371,0.004,3299.0,43.0
211099297,10.665,0.02,10.118,0.024,9.921,0.015,12.546,7.505,0.016,1.3281765,1.0008076,0.04664385,3.136137,0.7987,0.0058,4675.0,78.0
211081949,11.913,0.017,11.177,0.018,11.011,0.018,15.214,7.185,0.023,2.0517874,1.0593263,1.5818826,0.0,0.553,0.0031,3645.0,43.0
211000740,12.598,0.023,11.917,0.024,11.653,0.02,16.724,7.431,0.043,2.6708174,1.0802506,2.0210302,0.7403773,0.4352,0.0039,3327.0,43.0
211140995,12.733,0.022,12.108,0.021,11.816,0.021,16.768,6.711,0.053,2.5566254,1.1028457,2.5294802,2.3952363,0.4448,0.0045,3358.0,43.0
211129321,12.434,0.017,11.697,0.017,11.458,0.02,16.721,7.571,0.042,2.7314844,1.179775,4.649403,3.8382373,0.4608,0.0039,3274.0,42.0
211009416,10.95,0.021,10.269,0.024,10.13,0.015,13.312,7.397,0.016,1.5298176,1.0108391,0.31846774,4.8041067,0.6788,0.0023,4226.0,77.0
210932705,12.718,0.021,12.022,0.024,11.774,0.016,16.48,6.614,0.037,2.5696373,1.0303763,0.8467043,0.80644345,0.457,0.0033,3455.0,43.0
211029446,12.851,0.019,12.251,0.021,11.96,0.018,17.96,7.326,0.053,3.1084614,1.082603,2.1694207,2.6090355,0.3905,0.0038,3030.0,42.0
#210833048,11.813,0.019,11.139,0.022,10.906,0.016,15.661,7.315,0.105,--,1.1605934,3.88783,19.68587,0.5636,0.0056,3424.0,43.0
210949562,14.057,0.027,13.474,0.031,13.125,0.031,19.2,8.065,0.104,3.1966543,1.0223686,0.6058951,0.38822985,0.2091,0.0042,3021.0,43.0
210975876,13.437,0.024,12.771,0.022,12.526,0.022,17.653,5.51,0.057,2.6827497,0.99704015,-0.057455126,0.0,0.399,0.005,3297.0,43.0
210940618,11.761,0.017,11.035,0.021,10.833,0.018,15.207,7.335,0.023,2.134594,1.1631474,3.8042386,2.0153723,0.5743,0.0031,3581.0,43.0
